Time,Country Name,Forest_area%,Total greenhouse gas emissions ,Renewable_energy_consumption,Oil rents (% of GDP),Level of water stress:,Agricultural land (% of land area),Agricultural methane emissions (% of total) ,"Annual freshwater withdrawals, agriculture "
2017,Sri Lanka,34.29305414,33847.33216,45.78,0,90.78541374,44.59631945,..,87.36289201
2018,Afghanistan,1.852781994,32580.49106,17.96,0.018854417,54.75701944,58.27698818,..,98.1696273
2018,Bangladesh,14.46877161,214432.3367,25.79,0.061302761,5.723339482,73.95943766,..,87.81711737
2018,Bhutan,71.34556896,2074.163352,82.61,0,1.413807531,13.45044573,..,94.08284024
2018,India,24.09102681,3436071.569,32.73,0.446629595,66.49209283,60.24356466,..,90.40735874
2018,Maldives,2.733333333,2216.909588,1.12,0,15.66666667,21.33333333,..,0
2018,Nepal,41.59072201,45363.09484,74.29,0,8.311832662,28.74782002,..,98.13522023
2018,Pakistan,4.940561436,422019.6189,43.36,0.443490417,118.2381449,47.93612495,..,93.97656037
2018,Sri Lanka,34.25804992,33285.05462,47.86,0,90.78541374,45.44807966,..,87.36289201
2019,Afghanistan,1.852781994,32736.76917,18.51,0.01277729,54.75701944,58.27698818,..,98.1696273
2019,Bangladesh,14.46877161,212143.1483,26.37,0.040160917,5.723339482,75.83928709,..,87.81711737
2019,Bhutan,71.39748296,2052.155026,82.85,0,1.413807531,13.45044573,..,94.08284024
2019,India,24.18062754,3412419.303,33.27,0.305028316,66.49209283,60.21981337,..,90.40735874
2019,Maldives,2.733333333,2490.697111,1.11,0,15.66666667,21.33333333,..,0
2019,Nepal,41.59072201,44489.74544,77.18,0,8.311832662,28.74782002,..,98.13522023
2019,Pakistan,4.886934413,427522.6496,45.88,0.35819153,108.6497761,47.11887713,..,93.97656037
2019,Sri Lanka,34.20671025,35477.98059,46.13,0,90.78541374,45.44729471,..,87.36289201
2020,Afghanistan,1.852781994,31119.04539,17.58,0.005177619,54.75701944,58.74154823,..,98.1696273
2020,Bangladesh,14.46877161,206570.3527,27.96,0.016478832,5.723339482,76.26949374,..,87.81711737
2020,Bhutan,71.44939696,1630.8557,88.39,0,1.413807531,13.45044573,..,94.08284024
2020,India,24.27022827,3200820.626,35.82,0.144343869,66.49209283,60.04586286,..,90.40735874
